sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,trades_per_yr,win_rate_pct,year,approach,strategy,timeframe,ticker
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2022,B,S1_MeanRev,hourly,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,B,S1_MeanRev,hourly,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,B,S1_MeanRev,hourly,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2025,B,S1_MeanRev,hourly,AFLT
0.6099,1.59,2.61,-1.15,0.34,2,2.2,100.0,2022,D,S1_MeanRev,hourly,AFLT
-1.1805,-0.84,0.71,-0.85,0.17,1,1.0,0.0,2023,D,S1_MeanRev,hourly,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,D,S1_MeanRev,hourly,AFLT
1.0529,1.36,1.29,-0.43,0.28,1,0.8,100.0,2025,D,S1_MeanRev,hourly,AFLT
1.4539,2.37,1.63,-0.35,0.27,2,2.0,100.0,2020,A,S2_Bollinger,hourly,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2021,A,S2_Bollinger,hourly,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2022,A,S2_Bollinger,hourly,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,A,S2_Bollinger,hourly,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,A,S2_Bollinger,hourly,AFLT
1.0529,1.36,1.29,-0.43,0.28,1,0.8,100.0,2025,A,S2_Bollinger,hourly,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2022,B,S2_Bollinger,hourly,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,B,S2_Bollinger,hourly,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,B,S2_Bollinger,hourly,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2025,B,S2_Bollinger,hourly,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2022,D,S2_Bollinger,hourly,AFLT
